,,,,,Project,,,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B6a2,,,,,,,,,,,,,Mustard water,Pour a mixture gallon of water with 1 cup of mustard power ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B6zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,B7,,,,,,,,,,,,,,,weeds/diseases/pests,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B7zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,B8,,,,,,,,,,,,,,,Bioavailable Nitrogen,,,,,,,,,,,,,,,,,,,
,,B8a,,,,,1,1,,,,,,,,autoclaved citrate extractable protein (ACE protein),"Stott, D. E. (2019). Recommended Soil Health Indicators and Associated Laboratory Procedures. Soil Health Technical Note No. 450-03. U.S. Department of Agriculture, Natural Resources Conservation Service.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B8zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,B9,,,,,,,,,,,,,,,Soil Health Index/Rating,,,,,,,,,,,,,,,,,,,
,,B9a,,,,,,,,,,,,,,Soil Health Calculation (goal of 7 or higher) So+AM1:AU1il Health Calculation ,?? Soil Health Haney Score Switch to index?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B9zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,,,,
,P1,,,,,,,,,,,,,,,Aggregate Stability,,,,,,,,,,,,,,,,,,,
,,P1a,,,,,,,,,,,,,,Aggregate Stability,,,,,,,,,,,,,,,,,,,
,,,P1a1,3F1a1a,,,,,1,,,,,,,Aggregate Stability,"SSIR No. 42, v5, pg 213, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=241",,,,,,,,,,,,,,,,,,
,,,P1a2,,,1,,,,,,,,,,wet aggregate stability ,Gutknecht lab machine / method ,"Kemper, W. D., & Rosenau, R. C. (1986). Aggregate Stability and Size Distribution. Methods of Soil Analysis, Part 1 (Physical and Mineralogical Methods). Agronomy Monograph Nr. 9, Second Edition., Agronomy M, 425–442. https://doi.org/10.1002/gea.3340050110",,,,,,,,,,,,,,,,,
,,,P1a3,,,,,,,,,,,,,wet aggregate stability ,Cates lab machine,,,,,,,,,,,,,,,,,,
,,,P1a4,,,,,,,,,,,,,wet aggregate stability ,,,,,,,,,,,,,,,,,,,
,,P1b,,,,,,,,,,,,,,"Solvita VAST, Volumetric Aggregate Stability Test",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,P2,,,,,,,,,,,,,,,Water Content & Water Retention,,,,,,,,,,,,,,,,,,,
,,P2a,,,,,,,,,,,,,,Water Content,,,,,,,,,,,,,,,,,,,
,,,P2a1,,1,,,,0,0,,,1,,1,Gravimetric Water Content,"standard method, weigh and dry (~105C) and weigh again",,,,,,,,,,,,,,,,,,
,,,P2a2,,,1,,,,,,,,,,Volumetric Water Content,Funnel and filter,,,,,,,,,,,,,,,,,,
,,,P2a3,,,,,,,,,,,,,Volumetric Ice Content,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P2b,,3H,,,,,,,,,,,,Atterberg Limits,"SSIR No. 42, v5 218, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=246",,,,,,,,,,,,,,,,,,
,,P2c,,,,,,,,,,,,,,Water Retention,,,,,,,,,,,,,,,,,,,
,,,P2c1,3C1a1a,,,,,,,,,,,,"Water Retention, Pressure-Plate, <2mm","SSIR No. 42, v5, pg 144, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=169",,,,,,,,,,,,,,,,,,
,,,P2c2,3C3,,,,,,,,,,,,"Water Retention, Field State","SSIR No. 42, v5, pg 169, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=197",,,,,,,,,,,,,,,,,,
,,,P2c3,3D1,,,,,,,,,,,,"Water Retention, ADOD","SSIR No. 42, v5, pg 171, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=199",,,,,,,,,,,,,,,,,,
,,,P2c4,,,,,,,,,,,,,"Water Retention, -1500 Kilopascals, Pedotransfer function",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P2zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,P3,,,,,,,,,,,,,,,Bulk Density (BD)/Porosity,,,,,,,,,,,,,,,,,,,
,,P3a,,,0,,,,1,0,,,,,0,Bulk Density,,,,,,,,,,,,,,,,,,,
,,,P3a1,DbWR1,,,,,,,,,,,,"Bulk Density, Clod","SSIR No. 42, v5, pg 138, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=166",,,,,,,,,,,,,,,,,,
,,,P3a2,3B6,,1,,1,,,,,,,,"Bulk Density, Soil Core","SSIR No. 42, v5, pg 138, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=166",,,,,,,,,,,,,,,,,,
,,,P3a3,3B2,,,,,,,,,,,,"Bulk Denskity, reconstituted","SSIR No. 42, v5, pg 125, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=153",,,,,,,,,,,,,,,,,,
,,,P3a4,3B3,,,,,,,,,,,,"Bulk Density, Compliant Cavity","SSIR No. 42, v5, pg 130, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=158",,,,,,,,,,,,,,,,,,
,,,P3a5,3B1a,,,,,,,,,,,,"Bulk Density, Clod, Field State","SSIR No. 42, v5, pg 101, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=129",,,,,,,,,,,,,,,,,,
,,,P3a6,DbRec1,,,,,,,,,,,,"Bulk Density, Reconstituted, Moist",,,,,,,,,,,,,,,,,,,
,,,P3a7,3B1d,,,,,,,,,,,,"Bulk Density, Clod, Rewet","SSIR No. 42, V5, pg 119, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=147",,,,,,,,,,,,,,,,,,
,,,P3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,P3a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,P4,,,,,,,,,,,,,,,Texture,,,,,,,,,,,,,,,,,,,
,,P4a,,,0,,,,,0,,,0,,1,"Textural analysis, Hydrometer","This method determines the approximate proportion of sand (2000-50um), silt (50-2.0um) and clay(<2.0um) particles in a soil.  Forty grams of air dried (crushed to <2mm) soil is shaken for 16 hr with 100 ml of 5% sodium hexametaphosphate.  The suspension is quantitatively transferred to a sedimentation cylinder and brought to a total volume of 1L with deionized water.  After a 2 hr temperature equilibration, the suspension is stirred vigorously for one minute to re-suspend the particles.  An ASTM No. 152H hydrometer is carefully placed in the suspension and used to take two readings, one at 40 sec. and another at 6-8 hours (exact time depends on the temperature of the suspension).   The percentage of sand, silt and clay in the soil is calculated from the resulting hydrometer readings.","Miller, R.O., J. Kotuby-Amacher, Rodriguez, J.B. 1997. Particle Size Analysis (Hydrometer). p. 96-99. Western States Laboratory Proficiency Testing Program Soil and Plant Analytical Methods. Version. 4.00.",S16,,,,,,,,,,,,,,,,
,,P4b,,,,,,,,,,,,,,Wet sieve/dry sieve,"very corse sand, coarse, medium, fine, very fine,  >2mm, silt/sand",,,,,,,,,,,,,,,,,,
,,P4c,,3A1,,,,,,,,,,,,"Particle Size Distribution Analysis (PSDA), Pipet",,"SSIR No. 42, v5, pg 66, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=94",,,,,,,,,,,,,,,,,
,,P4d,,,,,,1,,,,,,,,soil particle size distribution (hydrometer),,"Grigal, D. (1973). Note on the hydrometer method of particle-size analysis. Soil Journal Serial Paper #8438, University of Minnestoa Agricultural Experiment Station, St. Paul, MN.",,,,,,,,,,,,,,,,,
,,P4e,,,,1,,,,,,,,,,"Particle Size Analysis (sand, silt, clay) hybrid Hydrometer (clay) and Wet Sieve (sand)",,,,,,,,,,,,,,,,,,,
,,P4f,,,,,,,,,,,,,,Laser Partice Size Analyzer (LPSA),,,,,,,,,,,,,,,,,,,
,,P4g,,,,,,,,,,,1,,,Texture by Feel,,,,,,,,,,,,,,,,,,,
,,P4h,,,,,,,,,,,,,,soil_secondary_texture,,,,,,,,,,,,,,,,,,,
,,P4i,,,,,,,,,,,,,,clay_percent,,,,,,,,,,,,,,,,,,,
,,P4j,,,,,,,,,,,,,,sandy_percent,,,,,,,,,,,,,,,,,,,
,,P4k,,,,,,,,,,,,,,silt_percent,,,,,,,,,,,,,,,,,,,
,,P4zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,P5,,,,,,,,,,,,,,,Penetration Resistance,,,,,,,,,,,,,,,,,,,
,,P5a,,,,,,,,,,,,,,penetrometer,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P5zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,P6,,,,,,,,,,,,,,,Hydraulic Conductivity/Infiltration/Runoff,,,,,,,,,,,,,,,,,,,
,,P6a,,,0,,,,,1,,,,,,"Saturated Soil Hydraulic Conductivity, KFS (Field Saturation)",,,,,,,,,,,,,,,,,,,
,,,P6a1,,,,,,,,,,,,,Saturated Hydraulic Conductivity (Ksat),,,,,,,,,,,,,,,,,,,
,,,P6a2,,,,,,,,,,,,,Permeability Classes,,,,,,,,,,,,,,,,,,,
,,P6b,,,,,,,,,,,,,,Rainfall simulator,Gutknechct/Cates Lab,,,,,,,,,,,,,,,,,,
,,P6c,,,,,,,,,,,,,,Runoff,,,,,,,,,,,,,,,,,,,
,,,P6c1,,,1,,,,,,,,1,,Runoff amount,,,,,,,,,,,,,,,,,,,
,,,P6c2,,,1,,,,,,,,,1,runoff sediment,,,,,,,,,,,,,,,,,,,
,,P6d,,,,,,,,,,,,,,infiltration,,,,,,,,,,,,,,,,,,,
,,,P6d1,,,1,,,,,,,,,,Single Ring,,,,,,,,,,,,,,,,,,,
,,,P6d2,,,1,,,,,,,,,,Double Ring,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P6zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,P8,,,,,,,,,,,,,,,Temperature,,,,,,,,,,,,,,,,,,,
,,P8a,,,,,,,0,0,,,,,0,Air Temperature (F),Ambient air temperature at chest height (Celsius or Fahrenheit),,,,,,,,,,,,,,,,,,
,,P8b,,,1,,,,,,,,,,,Soil Temperature (F),Record the ambient temperature and depth.  Soil temp should only be determined from a freshly excavated surface that relfects the ambient soil conditions.  Avoid surfaces equilibrated with air temperatures,,,,,,,,,,,,,,,,,,
,,,P8b1,,,,,,,,,,,,,temperature_c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P8zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,Morphology (Color/structure/smell/erosion/depth/VESS),,,,,,,,,,,,,,,,,,,
,M1,,,,,,,,,,,,,,,Color,,,,,,,,,,,,,,,,,,,
,,M1a,,,,,,,,,,,,,,Soil Matrix Color,"(Soil) Color—Identify the soil matrix color(s) with Munsell® notation (Hue, Value, Chroma); e.g., 10YR 3/2. For neutral colors, chroma is zero but not shown; e.g., N 4/. For other gley colors, use appropriate notation (see Munsell® gley pages; e.g., 5GY 6/1). For narrative descriptions (soil survey reports, Official Soil Series Descriptions), both the verbal name and the Munsell® notation are given; e.g., dark brown, 10YR 3/3.",,,,,,,,,,,,,,,,,,
,,,M1a1,,,,,,,,,,,,,soil_matrix_color_percent,,,,,,,,,,,,,,,,,,,
,M2,,,,,,,,,,,,,,,Redoximorphic Features,"Redoximorphic features (RMFs) are color patterns in a soil caused by loss (depletion) or gain (concentration) of pigment compared to the matrix color, formed by oxidation/reduction of Fe and/or Mn coupled with their removal, translocation, or accrual; or a soil matrix color controlled by the presence of Fe+2. The composition and process of formation for a soil color or color pattern must be known or inferred before it can be described as an RMF. Because of this inference, RMFs are described separately from mottles, other concentrations (e.g., salts), or compositional features (e.g., clay films).",,,,,,,,,,,,,,,,,,
,,M2a,,,,,,,,,,,,,,Kind,,,,,,,,,,,,,,,,,,,
,,M2b,,,,1,,,,,,,1,,,Quantity,Percent of area covered %,,,,,,,,,,,,,,,,,,
,,M2c,,,,1,,,,,,,1,,,Size,,,,,,,,,,,,,,,,,,,
,,M2d,,,,1,,,,,,,1,,,Contrast,,,,,,,,,,,,,,,,,,,
,,M2e,,,,,,,,,,,,,,Color,"Record the color difference between the RMF and the dominant matrix color; e.g., Prominent or p. Use this table or the following chart to express the difference. (Also used for Concentrations and Mottles.) Use standard Munsell® notation from the “Soil Color” section; e.g., light brownish gray or 2.5Y 6/2.",,,,,,,,,,,,,,,,,,
,,,M2e1,,,,,,,,,,,,,Redox Feature Hue (Color),,,,,,,,,,,,,,,,,,,
,,,M2e2,,,,,,,,,,,,,Redox Feature Value (Color),,,,,,,,,,,,,,,,,,,
,,,M2e3,,,,,,,,,,,,,Redox Feature Chroma (Color),,,,,,,,,,,,,,,,,,,
,,M2f,,,,,,,,,,,,,,Moisture State,,,,,,,,,,,,,,,,,,,
,,M2g,,,,,,,,,,,,,,Shape,"Describe the moisture condition of the redoximorphic feature (use “Soil Color - Moisture State” table); e.g., Moist (M).",,,,,,,,,,,,,,,,,,
,,M2h,,,,,,,,,,,,,,Location,"Describe the shape of the redoximorphic feature (use “Concentrations - Shape” table); e.g., Spherical (S).",,,,,,,,,,,,,,,,,,
,,M2i,,,,,,,,,,,,,,Hardeness,"Describe the location(s) of the redoximorphic feature within the horizon (use “Concentrations – Location” table); e.g., In the matrix around depletions (MAD).",,,,,,,,,,,,,,,,,,
,,M2j,,,,,,,,,,,,,,Boundary,"Describe the relative force required to crush the redoximorphic feature (use the same classes and criteria as the “Rupture Resistance for Blocks/Peds/Clods-Cementation” column); e.g., Strongly Cemented (ST).",,,,,,,,,,,,,,,,,,
,M3,,,,,,,,,,,,,,,Mottles,"Describe mottles (areas that differ from the matrix color). Mottles commonly have a lithomorphic or lithochromic (e.g., gray shale) geologic origin rather than pedogenic. Mottles do not indicate existing redox conditions. Describe Redoximorphic Features and Ped and Void Surface Features (e.g., clay films) separately from mottles.",,,,,,,,,,,,,,,,,,
,,M3a,,,,,,,,,,,,,,Quantity or Percent,Percent of area covered %,,,,,,,,,,,,,,,,,,
,,M3b,,,,,,,,,,,,,,Size,"Size refers to dimensions as seen on a plane. If mottle length is <3 times the mottle width, record the greater of the two. If length is >3 times width, record the smaller dimension.",,,,,,,,,,,,,,,,,,
,,M3c,,,,,,,,,,,,,,Contrast,Use Redoximorphic Feature - Contrast criteria and table,,,,,,,,,,,,,,,,,,
,,M3d,,,,,,,,,,,,,,Color,"Use standard Munsell® notation of hue, value, and chroma; e.g., 5YR 4/4 (for reddish brown).",,,,,,,,,,,,,,,,,,
,,M3e,,,,,,,,,,,,,,Moisture State,"Record moisture condition of mottle (don’t confuse with soil water state); e.g., moist (M) or dry (D).",,,,,,,,,,,,,,,,,,
,,M3f,,,,,,,,,,,,,,Shape,"Use “Concentrations - Shape” table; e.g., irregular.",,,,,,,,,,,,,,,,,,
,,M3g,,,,,,,,,,,,,,Location,Describe the location(s) of the mottles within the horizon.,,,,,,,,,,,,,,,,,,
,M4,,,,,,,,,,,,,,,Concentrations,"Concentrations are soil features that form by accumulation of material during pedogenesis. Dominant processes involved are chemical dissolution/precipitation; oxidation and reduction; and physical and/or biological removal, transport, and accrual.",,,,,,,,,,,,,,,,,,
,,M4a,,,,,,,,,,,,,,Kind,Identify the composition and the physical state of the concentration in the soil.,,,,,,,,,,,,,,,,,,
,,M4b,,,,,,,,,,,,,,Quantity,Percent of area covered %,,,,,,,,,,,,,,,,,,
,,M4c,,,,,,,,,,,,,,Size,(Same as “RMFs” and “Mottle Size Classes”)—See graphic on page p. 2–24.),,,,,,,,,,,,,,,,,,
,,M4d,,,,,,,,,,,,,,Contrast,"Use “RMF - Contrast” table or chart; e.g., distinct.",,,,,,,,,,,,,,,,,,
,,M4e,,,,,,,,,,,,,,Color,"Use standard Munsell® notation; e.g., 7.5YR 8/1.",,,,,,,,,,,,,,,,,,
,,,M4e1,,,,,,,,,,,,,Concentration Hue (Color),,,,,,,,,,,,,,,,,,,
,,,M4e2,,,,,,,,,,,,,Concentration Value (Color),,,,,,,,,,,,,,,,,,,
,,,M4e3,,,,,,,,,,,,,Concentration Chroma (Color),,,,,,,,,,,,,,,,,,,
,,M4f,,,,,,,,,,,,,,Moisture State,"Use “Soil Color – Moisture State” table; i.e., Moist (M) or Dry (D).",,,,,,,,,,,,,,,,,,
,,M4g,,,,,,,,,,,,,,Shape,"Describe the shape of the feature (use “Concentrations - Shape” table); e.g., Spherical (S).",,,,,,,,,,,,,,,,,,
,,M4h,,,,,,,,,,,,,,Location,Describe the location(s) of the concentration (or depletion for RMFs) within the horizon.,,,,,,,,,,,,,,,,,,
,,M4i,,,,,,,,,,,,,,Hardness,"Describe the relative force required to crush the concentration body (use the same criteria and classes as in the “Rupture Resistance for Blocks, Peds, and Clods – Cementation” column (exclude the Noncemented class); e.g., Moderately Cemented.",,,,,,,,,,,,,,,,,,
,,M4j,,,,,,,,,,,,,,Boundary,The gradation between feature and matrix. (Also used to describe Redoximorphic Features - Boundary.),,,,,,,,,,,,,,,,,,
,M5,,,,,,,,,,,,,,,Pedogenic Carbonate Stages,,,,,,,,,,,,,,,,,,,
,,M5a,,,,,,,,,,,,,,Ped and Void Surgace Features,"These features are coats/films, hypocoats, or stress features formed by translocation and deposition or by shrink-swell processes on or along surfaces.",,,,,,,,,,,,,,,,,,
,,M5b,,,,,,,,,,,,,,Kind,(nonredoximorphic),,,,,,,,,,,,,,,,,,
,,M5c,,,,,,,,,,,,,,Amount Class,"Estimate the relative percent of the visible surface area that a ped surface feature occupies in a horizon. (See graphics for % of Area Covered [5, 25, 50, 90%] beginning on page 7.1.) In NASIS, record the estimate as a numeric percent; e.g., 20%.",,,,,,,,,,,,,,,,,,
,,M5d,,,,,,,,,,,,,,Distinctness,The relative extent to which a ped surface feature visually stands out from adjacent material.,,,,,,,,,,,,,,,,,,
,,M5e,,,,,,,,,,,,,,Location,"Specify where ped surface features occur within a horizon; e.g., Between sand grains.",,,,,,,,,,,,,,,,,,
,,M5f,,,,,,,,,,,,,,Color,"Use standard Munsell® notation (hue, value, chroma) to record feature color. Indicate whether the color is Moist (M) or Dry (D); e.g., 7.5R 5/8 M.",,,,,,,,,,,,,,,,,,
,,,M5f1,,,,,,,,,,,,,Ped and Void Surface Feature Color Value,,,,,,,,,,,,,,,,,,,
,,,M5f2,,,,,,,,,,,,,Ped and Void Surface Feature Color Hue,,,,,,,,,,,,,,,,,,,
,,,M5f3,,,,,,,,,,,,,Ped and Void Surface Feature Color Chroma,,,,,,,,,,,,,,,,,,,
,M6,,,,,,,,,,,,,,,Texture Modifiers,,,,,,,,,,,,,,,,,,,
,,M6a,,,,,,,,,,,,,,Rock Fragment,,,,,,,,,,,,,,,,,,,
,,,M6a1,,,,,,,,,,,,,Rock Fragment Kind,,,,,,,,,,,,,,,,,,,
,,,M6a2,,,,,,,,,,,,,Rock Fragment Abundance,,,,,,,,,,,,,,,,,,,
,,,M6a3,,,,,,,,,,,,,Rock Fragment Roundness,,,,,,,,,,,,,,,,,,,
,,,M6a4,,,,,,,,,,,,,Rock Fragment Hardness,,,,,,,,,,,,,,,,,,,
,,,M6a5,,,,,,,,,,,,,boulder_frag_percent,,,,,,,,,,,,,,,,,,,
,,,M6a6,,,,,,,,,,,,,boulder_soil_frag_shape,,,,,,,,,,,,,,,,,,,
,,,M6a7,,,,,,,,,,,,,cobble_frag_percent,,,,,,,,,,,,,,,,,,,
,,,M6a8,,,,,,,,,,,,,cobble_soil_frag_shape,,,,,,,,,,,,,,,,,,,
,,,M6a9,,,,,,,,,,,,,gravel_frag_percent,,,,,,,,,,,,,,,,,,,
,,,M6a10,,,,,,,,,,,,,gravel_soil_frag_shape,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M7,,,,,,,,,,,,,,,Soil Structure,"(Soil) structure is the naturally occurring arrangement of soil particles into aggregates that results from pedogenic processes. Record Grade, Size, and Type. For compound structure, list each size and type; e.g., medium and coarse SBK parting to fine GR. Lack of structure (structureless) has two end members: massive (MA) or single grain (SG). A complete example is: weak, fine, subangular blocky or 1, f, sbk.",,,,,,,,,,,,,,,,,,
,,M7a,,,,,,,,,,,,,,Grade,,,,,,,,,,,,,,,,,,,
,,M7b,,,,,,,,,,,,,,Size,,,,,,,,,,,,,,,,,,,
,,M7c,,,,,,,,,,,,,,Type,"Record the dominant type of ped, by layer; e.g., granular or gr. If a prevailing large shape readily breaks into smaller units, record as “(larger type) parting to (smaller type)”; e.g., prismatic parting to subangular blocky.",,,,,,,,,,,,,,,,,,
,,M7d,,,,,,,,,,,,,,soil_ice_structure,,,,,,,,,,,,,,,,,,,
,,M7e,,,,,,,,,,,,,,soil_rupt_ressist_block,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M8,,,,,,,,,,,,,,,Other Horizon Observations,,,,,,,,,,,,,,,,,,,
,,M8a,,,,,,,,,,,,,,Horizon Depth,,,,,,,,,,,,,,,,,,,
,,,M8a1,,,,,,,,,,,,,top_depth_cm,,,,,,,,,,,,,,,,,,,
,,,M8a2,,,,,,,,,,,,,bottom_depth_cm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,M8b,,,,,,,,,,,,,,Horizon Boundaries,,,,,,,,,,,,,,,,,,,
,,,M8b1,,,,,,,,,,,,,soil_boundary_distinct,,,,,,,,,,,,,,,,,,,
,,,M8b2,,,,,,,,,,,,,soil_boundary_topography,,,,,,,,,,,,,,,,,,,
,,M8c,,,,,,,,,,,,,,horizon_number - numerical sequence within pedon,,,,,,,,,,,,,,,,,,,
,,M8d,,,,,,,,,,,,,,horizon code (nomenclature),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,Site level data (,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,Geospatial Information (lat lon),,,,,,,,,,,,,,,,,,,
,,S1a,,,,,,,,,,,,,,Latitude,Record precisely the point of site location (GPS). ,,,,,,,,,,,,,,,,,,
,,,S1a1,,,,,,,,,,,,,Latitude (Decimal Degree),,,,,,,,,,,,,,,,,,,
,,,S1a2,,,,,,,,,,,,,"Latitude (Degrees, Minutes, Seconds)",,,,,,,,,,,,,,,,,,,
,,S1b,,,,,,,,,,,,,,Longitude,Record precisely the point of site location (GPS). ,,,,,,,,,,,,,,,,,,
,,,S1b1,,,,,,,,,,,,,Longitude (Decimal Degree),,,,,,,,,,,,,,,,,,,
,,,S1b2,,,,,,,,,,,,,"Longitude (Degrees, Minutes, Seconds)",,,,,,,,,,,,,,,,,,,
,,S1c,,,,,,,,,,,,,,Accuracy,,,,,,,,,,,,,,,,,,,
,,,S1c1,,,,,,,,,,,,,accuracy_m,,,,,,,,,,,,,,,,,,,
,,,S1c2,,,,,,,,,,,,,accuracy_ft,,,,,,,,,,,,,,,,,,,
,,,S1c3,,,,,,,,,,,,,h_datum,,,,,,,,,,,,,,,,,,,
,,,S1c4,,,,,,,,,,,,,location of origin,,,,,,,,,,,,,,,,,,,
,,,S1c5,,,,,,,,,,,,,v_datum,,,,,,,,,,,,,,,,,,,
,,S1d,,,,,,,,,,,,,,Elevation,,,,,,,,,,,,,,,,,,,
,,,S1c1,,,,,,,,,,,,,elevation_m,,,,,,,,,,,,,,,,,,,
,,,S1c2,,,,,,,,,,,,,elevation_ft,,,,,,,,,,,,,,,,,,,
,,S1d,,,,,,,,,,,,,,Time of observation,,,,,,,,,,,,,,,,,,,
,,S1e,,,,,,,,,,,,,,GPS unit information,,,,,,,,,,,,,,,,,,,
,,S1f,,,,,,,,,,,,,,Plot ID,,,,,,,,,,,,,,,,,,,
,,S1g,,,,,,,,,,,,,,"Plot type (quick stop, full description, etc) = = = sort of like data completeness",,,,,,,,,,,,,,,,,,,
,S2,,,,,,,,,,,,,,,Geomorphic Information,,,,,,,,,,,,,,,,,,,
,,S2a,,,,,,,,,,,,,,Aspect,,,,,,,,,,,,,,,,,,,
,,,S2a1,,,,,,,,,,,,,aspect_declination degrees,,,,,,,,,,,,,,,,,,,
,,,S2a2,,,,,,,,,,,,,aspect_degrees (corrected),,,,,,,,,,,,,,,,,,,
,,S2b,,,,,,,,,,,,,,Slope,,,,,,,,,,,,,,,,,,,
,,,S2b1,,,,,,,,,,,,,slope_degrees,,,,,,,,,,,,,,,,,,,
,S3,,,,,,,,,,,,,,,General Soil/Site Observations,,,,,,,,,,,,,,,,,,,
,,S3a,,,,,,,,,,,,,,"Cryoturbation (yes, no unobserved)",,,,,,,,,,,,,,,,,,,
,,S3b,,,,,,,,,,,,,,Drainage/Drainage Class,,,,,,,,,,,,,,,,,,,
,,S3c,,,,,,,,,,,,,,Frost boil cover percent,,,,,,,,,,,,,,,,,,,
,,S3d,,,,,,,,,,,,,,Depth to saturation,,,,,,,,,,,,,,,,,,,
,S4,,,,,,,,,,,,,,,Geomorphic Observation,,,,,,,,,,,,,,,,,,,
,,S4a,,,,,,,,,,,,,,Microtopography/microrelief,,,,,,,,,,,,,,,,,,,
,,S4b,,,,,,,,,,,,,,Macrotopography,,,,,,,,,,,,,,,,,,,
,,S4c,,,,,,,,,,,,,,Physiography,,,,,,,,,,,,,,,,,,,
,S5,,,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,soil_field_note,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
